ClaimID,CustomerID,ClaimDate,ClaimAmount,VehicleAge,AccidentType,PoliceReport,InjuryReported,RepairShop,DaysToReport,FraudInvestigatorAssigned,ClaimApprovedAfterReview,Fraudulent
CLM00001,308,2026-06-10,"$4,944",1,Theft,No,Yes,RapidFix,1,No,Yes,0
CLM00002,1649,2026-05-21,"$28,727",7,Collision,No,No,FixPro,8,Yes,Yes,1
CLM00003,620,2026-06-23,"$7,947",11,Collision,Y,No,FixPro,6,No,Yes,0
CLM00004,299,2026-05-14,"$5,175",5,Collision,No,No,FixPro,6,Yes,No,1
CLM00005,1665,2026-05-27,"$4,030",8,Collision,No,Yes,AutoCare,6,No,Yes,0
CLM00006,75,2026-02-03,"$2,648",12,Collision,Y,No,AutoCare,4,No,Yes,0
CLM00007,1208,2026-01-21,"$18,432",8,Fire,Yes,No,TrustedGarage,5,No,Yes,0
CLM00008,1290,2026-04-28,"$5,707",7,Collision,No,Yes,AutoCare,3,Yes,Yes,0
CLM00009,1578,2026-07-22,"$1,588",-3,Flood,No,No,RapidFix,5,No,Yes,0
CLM00010,364,2026-06-21,"$8,118",6,Collision,Yes,Yes,FixPro,2,No,Yes,0
CLM00011,405,2026-02-08,"$6,972",1,Collision,No,No,FixPro,8,Yes,Yes,1
CLM00012,162,2026-04-13,"$9,278",13,Theft,No,No,AutoCare,4,No,Yes,0
CLM00013,1042,2026-04-07,"$13,749",3,Theft,No,No,FixPro,3,Yes,No,1
CLM00014,413,2026-06-03,"$6,464",7,Collision,N,No,RapidFix,2,No,Yes,0
CLM00015,1317,2026-02-23,$300,0,Theft,Yes,No,RapidFix,6,No,Yes,0
CLM00016,66,2026-06-18,$948,19,Fire,No,No,AutoCare,5,No,Yes,0
CLM00017,460,2026-06-09,"$5,331",18,Collision,Y,No,AutoCare,2,No,Yes,0
CLM00018,620,2026-06-01,"$1,304",14,Collision,,No,TrustedGarage,4,No,Yes,0
CLM00019,1755,2026-07-26,"$3,552",8,Flood,No,Yes,AutoCare,1,No,Yes,0
CLM00020,605,2026-04-22,"$2,255",4,Flood,Yes,Yes,TrustedGarage,2,No,Yes,0
CLM00021,514,2026-05-18,"$6,478",13,Collision,Yes,No,RapidFix,2,No,Yes,0
CLM00022,33,2026-03-14,"$5,691",6,Fire,YES,No,TrustedGarage,2,Yes,No,1
CLM00023,1042,2026-03-05,"$6,792",0,Collision,N,No,FixPro,4,No,Yes,0
CLM00024,1267,2026-06-16,"$8,715",15,Flood,No,Yes,FixPro,2,Yes,Yes,0
CLM00025,427,2026-01-15,"$4,900",0,Collision,No,No,AutoCare,5,Yes,Yes,0
CLM00026,1543,2026-04-06,"$6,740",18,Collision,YES,No,AutoCare,8,No,Yes,0
CLM00027,28,2026-05-07,"$5,332",10,Flood,YES,No,AutoCare,3,No,Yes,0
CLM00028,276,2026-03-08,"$10,424",10,Theft,N,No,AutoCare,1,No,Yes,0
CLM00029,97,2026-06-13,"$3,188",2,Collision,Yes,No,TrustedGarage,5,No,Yes,0
CLM00030,137,2026-01-27,"$13,609",0,Collision,No,Yes,FixPro,4,No,Yes,0
CLM00031,1709,2026-04-10,"$3,420",10,Collision,Yes,No,FixPro,4,No,Yes,0
CLM00032,979,2026-07-05,"$4,568",7,Flood,Yes,No,RapidFix,4,No,Yes,0
CLM00033,1541,2026-03-26,"$11,924",0,Collision,No,No,AutoCare,0,No,Yes,0
CLM00034,1365,2026-06-07,"$5,183",7,Flood,N,No,RapidFix,8,Yes,No,1
CLM00035,1579,2026-05-13,"$8,946",8,Theft,No,Yes,RapidFix,6,No,Yes,0
CLM00036,584,2026-01-19,"$6,469",19,Collision,Yes,No,RapidFix,10,No,Yes,0
CLM00037,1334,2026-03-11,"$33,887",85,Collision,No,Yes,AutoCare,4,Yes,No,1
CLM00038,1507,2026-01-17,"$2,445",12,Collision,No,No,AutoCare,4,No,Yes,0
CLM00039,46,2026-07-28,"$4,882",15,Theft,N,No,RapidFix,4,No,Yes,0
CLM00040,719,2026-02-11,"$13,217",6,Theft,Yes,Yes,TrustedGarage,5,No,Yes,0
CLM00041,1000,2026-04-07,"$5,354",20,Collision,YES,No,RapidFix,4,No,Yes,0
CLM00042,1160,2026-06-11,"$6,578",17,Fire,Yes,Yes,TrustedGarage,6,Yes,Yes,0
CLM00043,1660,2026-01-03,"$1,860",6,Collision,Yes,No,RapidFix,6,No,Yes,0
CLM00044,827,2026-03-30,"$2,134",0,Theft,No,No,TrustedGarage,4,No,Yes,0
CLM00045,623,2026-04-26,"$2,268",5,Fire,No,No,TrustedGarage,4,No,Yes,0
CLM00046,841,2026-07-22,"$1,656",0,Theft,No,No,RapidFix,5,No,Yes,0
CLM00047,1550,2026-05-13,"$7,718",18,Collision,No,No,TrustedGarage,4,No,Yes,0
CLM00048,731,2026-06-30,"$2,343",9,Fire,No,No,FixPro,2,No,Yes,0
CLM00049,447,2026-05-19,"$2,285",7,Fire,No,No,FixPro,6,Yes,Yes,0
CLM00050,1111,2026-02-11,"$13,575",8,Collision,No,No,RapidFix,6,Yes,No,1
CLM00051,969,2026-05-19,"$20,538",3,Collision,N,Yes,AutoCare,5,No,Yes,0
CLM00052,590,2026-06-27,"-$1,200",17,Theft,No,No,RapidFix,4,No,Yes,0
CLM00053,202,2026-06-10,"$2,527",9,Collision,No,No,RapidFix,2,No,Yes,0
CLM00054,793,2026-07-25,"$4,189",17,Fire,Yes,No,RapidFix,2,No,Yes,0
CLM00055,1136,2026-04-28,"$3,346",11,Collision,Y,No,TrustedGarage,6,No,Yes,0
CLM00056,751,2026-06-27,"$3,076",9,Flood,Y,Yes,RapidFix,3,No,Yes,0
CLM00057,1060,2026-05-31,"$8,416",3,Collision,No,No,FixPro,7,Yes,Yes,0
CLM00058,1594,2026-02-19,"$5,516",16,Flood,No,No,FixPro,6,No,Yes,0
CLM00059,688,2026-05-21,"$3,575",7,Theft,YES,No,FixPro,6,No,Yes,0
CLM00060,256,2026-04-10,"$3,952",7,Collision,Yes,Yes,RapidFix,5,No,Yes,0
CLM00061,1487,2026-06-01,"$4,420",19,Collision,N,No,RapidFix,4,Yes,Yes,0
CLM00062,1378,2026-02-06,"$9,845",7,Collision,,No,FixPro,2,No,Yes,0
CLM00063,1454,2026-04-25,"$4,349",7,Collision,No,No,TrustedGarage,4,No,Yes,0
CLM00064,809,2026-06-15,"$2,606",16,Collision,No,Yes,FixPro,3,Yes,No,1
CLM00065,1163,2026-06-17,"$4,159",5,Fire,No,No,TrustedGarage,3,Yes,Yes,0
CLM00066,112,2026-05-30,"$5,084",17,Collision,N,No,FixPro,4,No,Yes,0
CLM00067,631,2026-06-27,"$4,100",14,Collision,No,No,TrustedGarage,3,No,Yes,0
CLM00068,598,2026-04-18,"$1,307",9,Collision,No,No,FixPro,6,No,Yes,0
CLM00069,1123,2026-03-03,"$11,061",21,Fire,No,No,TrustedGarage,6,No,Yes,0
CLM00070,1465,2026-07-06,"$17,067",14,Collision,No,No,AutoCare,2,No,Yes,0
CLM00071,480,2026-04-11,"$2,480",11,Theft,No,No,AutoCare,1,No,No,1
CLM00072,165,2026-05-02,"$2,802",3,Collision,N,No,FixPro,5,Yes,Yes,0
CLM00073,934,2026-01-24,"$3,231",11,Theft,Y,Yes,RapidFix,6,No,Yes,0
